root_id,supervoxel_id,cell_type,hemibrain_type,side,flow,super_class,cell_class,cell_sub_class,fbbt_id,source_type
720575940630704211,78675967110941410,v2LN41b,v2LN41,right,intrinsic,central,ALLN,,FBbt_20003773,local
720575940624361230,81139491565261131,v2LN42a,v2LN42,right,intrinsic,central,ALLN,,FBbt_20003774,local
720575940626815826,81139491565224105,v2LN42b,v2LN42,right,intrinsic,central,ALLN,,FBbt_20003774,local
720575940625642517,81139491565239381,v2LN42c,v2LN42,right,intrinsic,central,ALLN,,FBbt_20003774,local
720575940606756785,81139354126422171,v2LN46a,v2LN46,right,intrinsic,central,ALLN,,FBbt_20003778,local
720575940609406985,81139354126420614,v2LN46b,v2LN46,right,intrinsic,central,ALLN,,FBbt_20003778,local
720575940615071795,81139354126420697,v2LN46b,v2LN46,right,intrinsic,central,ALLN,,FBbt_20003778,local
720575940629068741,81139354126431414,v2LN46b,v2LN46,right,intrinsic,central,ALLN,,FBbt_20003778,local
720575940630251791,81139354126424972,v2LN46b,v2LN46,right,intrinsic,central,ALLN,,FBbt_20003778,local
720575940621612765,81139354126427343,v2LN47,v2LN47,right,intrinsic,central,ALLN,,FBbt_20003779,local
720575940623526985,81139354126419221,v2LN47,v2LN47,right,intrinsic,central,ALLN,,FBbt_20003779,local
720575940618428830,81139422845902193,v2LN49,v2LN49,right,intrinsic,central,ALLN,,FBbt_20003781,local
720575940629589292,81139422845898178,v2LN49,v2LN49,right,intrinsic,central,ALLN,,FBbt_20003781,local
720575940617295901,81139560284684298,v2LN5,v2LN5,right,intrinsic,central,ALLN,,FBbt_00047709,local
720575940617910848,81139491565231768,v2LN5,v2LN5,right,intrinsic,central,ALLN,,FBbt_00047709,local
720575940605078560,81139491565219843,v2LNX01,,right,intrinsic,central,ALLN,,,local
720575940629111814,80717416338031420,vLN24,vLN24,right,intrinsic,central,ALLN,,,local
720575940628573519,81351078767166060,vLN25,vLN25,right,intrinsic,central,ALLN,,,local
720575940630340474,81210135120370963,vLN25,vLN25,right,intrinsic,central,ALLN,,,local
720575940612991381,80576816288417197,vLN26,vLN26,right,intrinsic,central,ALLN,,,local
720575940620249941,80717210314031312,vLN27,vLN27,right,intrinsic,central,ALLN,,,local
720575940626030776,80436010080616912,"vLN28,vLN29","vLN28,vLN29",right,intrinsic,central,ALLN,,,local
720575940630323303,80576747569069384,"vLN28,vLN29","vLN28,vLN29",right,intrinsic,central,ALLN,,,local
720575940631321704,80998066748556953,AL-AST1,AL-AST1,right,intrinsic,central,ALON,,FBbt_00047928,local
720575940660914561,81421722590913076,ALON1,,right,intrinsic,central,ALON,,,local
720575940637296356,81632760037009162,ALON2,,right,intrinsic,central,ALON,,,local
720575940620550705,81421241352811514,ALON3,,right,intrinsic,central,ALON,,,local
720575940640858019,81351078767500742,ALON3,,right,intrinsic,central,ALON,,,local
720575940631538028,81139972535104214,CB0683,hb1762351201,right,intrinsic,central,ALON,,,local
720575940629091431,81139422845905847,v2LN37,v2LN37,right,intrinsic,central,ALON,,FBbt_20003768,local
